vehicleId,deviceId,sDate,sLat,sLon,eLat,eLon,jumpedDistance
204428,354018113373439,2022-05-20 10:00:49.000,20.7231333,73.0256266,20.2118883,73.0245016,57
204428,354018113373439,2022-05-20 09:19:43.000,20.9076066,73.0343483,20.7231066,73.0255866,77
204428,354018113373439,2022-05-20 07:06:54.000,21.42267,72.9672533,20.9077399,73.03438,78
204428,354018113373439,2022-05-20 04:57:09.000,22.0900049,73.1729483,21.4230266,72.9672433,132
204428,354018113373439,2022-05-20 04:03:26.000,22.161255,73.1838049,22.0902283,73.172975,85
204428,354018113373439,2022-05-20 00:11:49.010,23.0707199,73.1878616,22.1610433,73.1835533,109
204428,354018113373439,2022-05-19 18:23:36.000,23.07053,73.1877766,23.0716933,73.1867049,101
204428,354018113373439,2022-05-19 15:08:13.000,23.513145,73.3004633,23.0718133,73.1884216,51
204428,354018113373439,2022-05-19 11:21:16.000,24.2579349,73.67519,23.5133933,73.3008683,141
204428,354018113373439,2022-05-19 03:48:02.000,24.6114033,74.0760083,24.25809,73.675395,145
204428,354018113373439,2022-05-19 00:17:10.000,24.8675366,74.5856716,24.6109533,74.076575,114
204428,354018113373439,2022-05-18 17:32:37.000,24.8679999,74.585925,24.8676983,74.58665,59
204428,354018113373439,2022-05-18 14:22:26.000,25.69368,74.612715,24.8679999,74.585925,92
204428,354018113373439,2022-05-18 13:21:50.000,25.695635,74.6129883,25.69392,74.6124966,92
204428,354018113373439,2022-05-18 11:06:53.000,26.1623066,74.7053416,25.6953983,74.6133449,53
204428,354018113373439,2022-05-18 10:06:59.000,26.1625716,74.7049033,26.162445,74.7061266,53
204428,354018113373439,2022-05-18 07:05:36.000,26.4564966,74.7974883,26.1625249,74.7048983,34
204428,354018113373439,2022-05-18 06:03:36.010,26.59139,74.9132083,26.4565583,74.7980383,52
204428,354018113373439,2022-05-18 03:48:28.000,26.78064,75.3955116,26.5908833,74.91418,69
204428,354018113373439,2022-05-18 00:22:11.000,27.5101583,76.0619933,26.7803916,75.395805,153
204428,354018113373439,2022-05-17 18:26:15.000,27.5097666,76.0621716,27.5105333,76.0622516,105
204428,354018113373439,2022-05-17 14:56:59.000,28.0422066,76.513475,27.509785,76.0625116,74
204428,354018113373439,2022-05-17 12:23:15.000,28.7627883,76.8633916,28.042425,76.5129366,160
204428,354018113373439,2022-05-17 11:16:47.000,28.9337533,77.0902433,28.7628466,76.8634216,114
204428,354018113373439,2022-05-17 10:38:28.000,28.9340166,77.0891866,28.9338666,77.0899633,29
204428,354018113373439,2022-05-17 03:08:00.000,28.1779966,76.7106683,28.9339716,77.089985,92
204428,354018113373439,2022-05-17 00:36:13.000,27.6374716,76.1228783,28.1777466,76.7092249,172
204428,354018113373439,2022-05-16 13:52:53.000,26.6581383,75.1729599,27.6376016,76.12345,227
204428,354018113373439,2022-05-16 10:07:46.000,26.6580283,75.1732,26.6582,75.1730583,144
204428,354018113373439,2022-05-16 04:08:58.000,26.1072616,74.68729,26.6581183,75.1731316,78
204428,354018113373439,2022-05-16 02:19:20.000,25.6959666,74.6121766,26.1072833,74.6867399,121
204428,354018113373439,2022-05-16 02:10:33.000,25.6956149,74.6122833,25.6959833,74.6121483,46
